loan_status,loan_amnt,int_rate,installment,annual_inc,revol_bal,revol_util,total_acc,acc_open_past_24mths,total_pymnt,loss
1,21000,5.93,638.2,126000.0,37066.0,61.7,24.0,3.0,21150.62,-150.61999999999898
1,20000,7.89,625.72,62000.0,16042.0,47.5,23.0,4.0,20282.11,-282.1100000000006
1,18000,6.68,553.16,50000.0,19287.0,41.7,26.0,4.0,19455.33,-1455.3300000000017
1,5000,6.89,154.14,30000.0,5035.0,39.3,12.0,5.0,5020.1,-20.100000000000364
0,28000,8.67,833.0390000000002,65318.0,37066.0,85.0,32.0,1.0,11995.18,16004.82
1,11000,14.65,379.44,33600.0,10769.0,66.5,14.0,7.0,12341.91,-1341.9099999999999
0,6000,12.69,201.27,38000.0,16762.0,82.6,10.0,3.0,800.85,5199.15
1,2000,6.68,61.47,44000.0,1470.0,13.7,43.0,6.0,2064.03,-64.0300000000002
1,11500,10.99,376.45,23000.0,6682.0,29.6,22.0,8.0,12714.04,-1214.0400000000009
1,2500,9.99,80.66,23600.0,37066.0,51.1,21.0,3.0,2682.33,-182.32999999999993
1,7500,9.99,241.97,65000.0,7151.0,56.8,19.0,5.0,8023.95,-523.9499999999998
1,24000,9.17,765.1,120000.0,34696.0,68.4,13.0,3.0,25576.96,-1576.9599999999991
1,5500,5.93,167.15,93000.0,4043.0,11.3,21.0,3.0,5668.02,-168.02000000000044
1,15000,6.89,462.41,128000.0,37066.0,34.7,31.0,4.0,15202.7,-202.70000000000073
1,5250,11.53,173.2,80000.0,8532.0,85.0,26.0,3.0,5890.89,-640.8900000000003
1,7000,11.53,230.94,56000.0,7731.0,68.4,13.0,2.0,7370.69,-370.6899999999996
1,18000,9.99,580.73,61000.0,4662.0,79.0,34.0,2.0,19819.46001,-1819.4600099999989
1,7400,7.26,229.38,32000.0,12335.0,43.3,22.0,5.0,7914.72,-514.7200000000003
0,17700,13.33,599.21,42000.0,8367.0,68.0,29.0,7.0,2982.94,14717.06
1,2000,9.99,64.53,125000.0,19114.0,75.0,31.0,3.0,2033.36,-33.3599999999999
1,15000,9.99,483.94,54000.0,13582.0,76.3,19.0,1.0,16181.09,-1181.0900000000001
1,12000,12.99,404.27,72000.0,20809.0,46.3,27.0,6.0,14043.17,-2043.17
1,16000,8.67,506.35,74832.0,17879.0,46.8,29.0,5.0,17462.69,-1462.6899999999987
0,35000,12.99,833.0390000000002,128000.0,15588.0,73.2,18.0,5.0,21394.53,13605.470000000001
1,7900,16.99,281.62,45000.0,11117.0,85.0,12.0,2.0,8503.69,-603.6900000000005
1,14400,6.49,441.29,95000.0,26616.0,35.7,21.0,1.0,15487.09,-1087.0900000000001
0,5500,7.89,172.08,28000.0,5703.0,65.6,12.0,2.0,2060.14,3439.86
1,1500,8.18,47.13,55000.0,13351.0,53.8,20.0,7.0,1522.59,-22.589999999999918
1,9600,8.18,301.63,59000.0,15740.0,38.9,43.0,9.0,9759.84,-159.84000000000015
1,25000,6.39,764.98,122000.0,26023.0,58.0,14.0,1.0,26131.192000000003,-1131.1920000000027
1,7000,14.99,242.63,60000.0,4433.0,26.1,31.0,4.0,7926.72,-926.7200000000003
1,10175,13.33,344.46,55000.0,18668.0,73.2,24.0,5.0,10991.78,-816.7800000000007
1,5000,5.32,150.58,108000.0,4618.0,6.4,26.0,4.0,5160.63,-160.6300000000001
1,16200,12.29,540.32,45000.0,4508.0,42.1,16.0,5.0,18303.4,-2103.4000000000015
1,27500,12.99,833.0390000000002,120000.0,18656.0,82.2,25.0,2.0,26131.192000000003,1368.8079999999973
